Symbol,Date,Close,High,Low,Open,Volume,Delta,Down_price,Up_price,RSI,Lowest_low,Highest_high,SO,R_percent,MACD,MACD_EMA,Price_Rate_Of_Change,OBV,Direction_prediction
MSFT,2022-03-23,299.489990234375,303.2300109863281,297.7200012207031,300.510009765625,25715400,-4.570007324218693,4.570007324218693,0.0,61.51614904077293,270.0,305.0,84.25711495535714,-15.742885044642858,2.5131126318306656,1.45247602706515,0.0486711512123094,-24798500,-1.0
MSFT,2022-03-24,304.1000061035156,304.20001220703125,298.32000732421875,299.1400146484375,24484500,4.610015869140625,0.0,4.610015869140625,67.11757591428722,270.0,305.0,97.4285888671875,-2.5714111328125,2.8157526320940747,1.735074394170879,0.0857999719744317,-314000,1.0
MSFT,2022-03-25,303.67999267578125,305.5,299.2900085449219,305.2300109863281,22566500,-0.420013427734375,0.420013427734375,0.0,66.10606605293336,270.0,305.5,94.8732188050176,-5.126781194982395,2.984529373259249,1.99220291441324,0.0985385255165764,-22880500,-1.0
MSFT,2022-03-28,310.70001220703125,310.79998779296875,304.3299865722656,304.3299865722656,29578200,7.02001953125,0.0,7.02001953125,73.73868225789147,275.82000732421875,310.79998779296875,99.7141919903963,-0.2858080096037075,3.510638159463213,2.302885922827867,0.082012950761324,6697700,1.0
MSFT,2022-03-29,315.4100036621094,315.82000732421875,309.04998779296875,313.9100036621094,30393400,4.709991455078125,0.0,4.709991455078125,77.63725975062476,275.82000732421875,315.82000732421875,98.97499084472656,-1.0250091552734375,4.167419394245655,2.6826335420572502,0.0714018409855854,37091100,1.0
MSFT,2022-03-30,313.8599853515625,315.95001220703125,311.5799865722656,313.760009765625,28163600,-1.550018310546875,1.550018310546875,0.0,73.49432513500415,275.82000732421875,315.95001220703125,94.79185995224262,-5.2081400477573805,4.522040969001637,3.0558942816143886,0.0631392996876398,8927500,-1.0
MSFT,2022-03-31,308.3099975585937,315.1400146484375,307.8900146484375,313.8999938964844,33422100,-5.549987792968807,5.549987792968807,0.0,60.21826463367795,275.82000732421875,315.95001220703125,80.96183972379794,-19.038160276202063,4.3790235825854325,3.323606655335724,0.0262290885561362,-24494600,-1.0
MSFT,2022-04-01,309.4200134277344,310.1300048828125,305.5400085449219,309.3699951171875,27110500,1.1100158691406818,0.0,1.1100158691406818,61.81027895128922,278.7300109863281,315.95001220703125,82.45567285026135,-17.54432714973865,4.289477834730235,3.5185791954894343,0.0342960611045228,2615900,1.0
MSFT,2022-04-04,314.9700012207031,315.1099853515625,309.7099914550781,310.0899963378906,24289600,5.54998779296875,0.0,5.54998779296875,68.97347890712925,283.20001220703125,315.95001220703125,97.00760004174616,-2.9923999582538165,4.54131239641282,3.724646342845825,0.0358810884355382,26905500,1.0
MSFT,2022-04-05,310.8800048828125,314.8699951171875,309.8699951171875,313.2699890136719,23156700,-4.089996337890625,4.089996337890625,0.0,59.48593726734112,289.3699951171875,315.95001220703125,80.92549260942347,-19.074507390576528,4.4049179979012365,3.861508565825117,0.0380313700618972,3748800,-1.0
